# Radius 	finiterdf__LJ_LJ	rdf__LJ_LJ	
7.85971 0.916972	0.916451	
7.8688 0.907618	0.907062	
7.87789 0.91618	0.915583	
7.88698 0.916148	0.915514	
7.89607 0.916824	0.916152	
7.90517 0.916568	0.91586	
7.91426 0.923899	0.923151	
7.92335 0.920352	0.919572	
7.93244 0.915521	0.914708	
7.94153 0.922402	0.921547	
7.95062 0.925749	0.924858	
7.95972 0.927073	0.926147	
7.96881 0.916956	0.916003	
7.9779 0.926666	0.925669	
7.98699 0.928986	0.927953	
7.99608 0.9295	0.928435	
8.00517 0.929267	0.928168	
8.01427 0.934736	0.933601	
8.02336 0.937747	0.936579	
8.03245 0.933551	0.932356	
8.04154 0.935809	0.934581	
8.05063 0.93676	0.9355	
8.05972 0.941056	0.939763	
8.06882 0.943572	0.942247	
8.07791 0.943361	0.94201	
8.087 0.946289	0.944907	
8.09609 0.949305	0.947894	
8.10518 0.951044	0.949606	
8.11427 0.950723	0.949261	
8.12336 0.948768	0.947284	
8.13246 0.949255	0.947745	
8.14155 0.958706	0.957159	
8.15064 0.952487	0.950926	
8.15973 0.956687	0.955097	
8.16882 0.95398	0.952371	
8.17791 0.964463	0.962818	
8.18701 0.959665	0.958007	
8.1961 0.969375	0.967684	
8.20519 0.961314	0.959616	
8.21428 0.965609	0.963886	
8.22337 0.969497	0.967751	
8.23246 0.967859	0.966099	
8.24156 0.962101	0.960331	
8.25065 0.968714	0.966914	
8.25974 0.965635	0.963822	
8.26883 0.96985	0.968013	
8.27792 0.978978	0.977112	
8.28701 0.975576	0.973703	
8.29611 0.984037	0.982138	
8.3052 0.981259	0.979354	
8.31429 0.982462	0.980544	
8.32338 0.981201	0.979275	
8.33247 0.983423	0.981483	
8.34156 0.986579	0.984625	
8.35066 0.981504	0.979548	
8.35975 0.99669	0.994701	
8.36884 0.993084	0.991098	
8.37793 0.988958	0.986973	
8.38702 0.998249	0.996243	
8.39611 0.995863	0.993859	
8.40521 0.996343	0.994335	
8.4143 0.996034	0.994023	
8.42339 1.00274	1.00072	
8.43248 1.00272	1.0007	
8.44157 1.00911	1.00708	
8.45066 1.00803	1.00601	
8.45975 1.00757	1.00554	
8.46885 1.01116	1.00914	
8.47794 1.00348	1.00148	
8.48703 1.00891	1.0069	
8.49612 1.00803	1.00602	
8.50521 1.01199	1.00998	
8.5143 1.01404	1.01203	
8.5234 1.017	1.01499	
8.53249 1.01725	1.01525	
8.54158 1.02324	1.02125	
8.55067 1.01005	1.00809	
8.55976 1.02206	1.02008	
8.56885 1.02284	1.02088	
8.57795 1.01796	1.01601	
8.58704 1.0209	1.01896	
8.59613 1.03581	1.03386	
8.60522 1.0317	1.02977	
8.61431 1.03498	1.03307	
8.6234 1.038	1.0361	
8.6325 1.0337	1.03183	
8.64159 1.03049	1.02865	
8.65068 1.03333	1.0315	
8.65977 1.03126	1.02946	
8.66886 1.03223	1.03044	
8.67795 1.02898	1.02721	
8.68705 1.03914	1.03738	
8.69614 1.0401	1.03836	
8.70523 1.04084	1.03912	
