# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdff[1] c_rdff[2] c_rdff[3]
100000 2000
779 3.114 2.21761 108.358
780 3.118 2.22849 110.587
781 3.122 2.23986 112.827
782 3.126 2.24696 115.073
783 3.13 2.25399 117.327
784 3.134 2.26015 119.588
785 3.138 2.26836 121.856
786 3.142 2.27629 124.132
787 3.146 2.28183 126.414
788 3.15 2.28776 128.702
789 3.154 2.29132 130.993
790 3.158 2.29509 133.288
791 3.162 2.29985 135.588
792 3.166 2.30365 137.892
793 3.17 2.30624 140.198
794 3.174 2.30936 142.507
795 3.178 2.31429 144.822
796 3.182 2.3132 147.135
797 3.186 2.31232 149.447
798 3.19 2.3133 151.76
799 3.194 2.31404 154.075
800 3.198 2.31445 156.389
801 3.202 2.31409 158.703
802 3.206 2.31387 161.017
803 3.21 2.31579 163.333
804 3.214 2.31681 165.65
805 3.218 2.31568 167.965
806 3.222 2.31548 170.281
807 3.226 2.31131 172.592
808 3.23 2.30924 174.901
809 3.234 2.30846 177.21
810 3.238 2.30517 179.515
811 3.242 2.30524 181.82
812 3.246 2.30632 184.126
813 3.25 2.30544 186.432
814 3.254 2.30332 188.735
815 3.258 2.30205 191.037
816 3.262 2.30109 193.338
817 3.266 2.29887 195.637
818 3.27 2.29651 197.934
819 3.274 2.29178 200.226
820 3.278 2.29063 202.516
821 3.282 2.28684 204.803
822 3.286 2.28274 207.086
823 3.29 2.27839 209.364
824 3.294 2.27428 211.638
825 3.298 2.27009 213.909
826 3.302 2.26133 216.17
827 3.306 2.2544 218.424
828 3.31 2.24856 220.673
829 3.314 2.24403 222.917
830 3.318 2.23776 225.155
831 3.322 2.23034 227.385
832 3.326 2.22232 229.607
833 3.33 2.2138 231.821
834 3.334 2.20326 234.024
835 3.338 2.19429 236.219
836 3.342 2.1843 238.403
837 3.346 2.1769 240.58
838 3.35 2.1677 242.747
839 3.354 2.15732 244.905
840 3.358 2.14899 247.054
841 3.362 2.13676 249.191
842 3.366 2.12815 251.319
843 3.37 2.12288 253.442
844 3.374 2.11437 255.556
845 3.378 2.1067 257.663
846 3.382 2.09778 259.76
847 3.386 2.08982 261.85
848 3.39 2.08157 263.932
849 3.394 2.0746 266.006
850 3.398 2.06413 268.071
851 3.402 2.05239 270.123
852 3.406 2.04261 272.166
853 3.41 2.02795 274.194
854 3.414 2.01686 276.21
855 3.418 2.00451 278.215
856 3.422 1.99351 280.208
857 3.426 1.98507 282.193
858 3.43 1.97628 284.17
859 3.434 1.96891 286.139
860 3.438 1.95903 288.098
861 3.442 1.94994 290.048
862 3.446 1.93936 291.987
863 3.45 1.93029 293.917
864 3.454 1.91971 295.837
865 3.458 1.90629 297.743
866 3.462 1.89814 299.641
867 3.466 1.88888 301.53
868 3.47 1.87877 303.409
869 3.474 1.86654 305.276
870 3.478 1.85515 307.131
871 3.482 1.84629 308.977
872 3.486 1.83637 310.813
873 3.49 1.8256 312.639
874 3.494 1.8161 314.455
875 3.498 1.80623 316.261
876 3.502 1.79675 318.058
877 3.506 1.78675 319.845
878 3.51 1.77746 321.622
879 3.514 1.7677 323.39
880 3.518 1.75868 325.149
881 3.522 1.74889 326.898
882 3.526 1.73865 328.636
883 3.53 1.72667 330.363
884 3.534 1.71736 332.08
885 3.538 1.70893 333.789
886 3.542 1.70103 335.49
887 3.546 1.6916 337.182
888 3.55 1.68225 338.864
889 3.554 1.67234 340.536
890 3.558 1.66335 342.2
891 3.562 1.65242 343.852
892 3.566 1.64199 345.494
893 3.57 1.62944 347.124
894 3.574 1.61989 348.743
895 3.578 1.6094 350.353
896 3.582 1.60135 351.954
897 3.586 1.59402 353.548
898 3.59 1.58681 355.135
899 3.594 1.58027 356.715
900 3.598 1.57523 358.291
901 3.602 1.56743 359.858
902 3.606 1.5584 361.416
903 3.61 1.54983 362.966
904 3.614 1.54313 364.509
905 3.618 1.53555 366.045
906 3.622 1.52824 367.573
907 3.626 1.52266 369.096
908 3.63 1.51502 370.611
909 3.634 1.50908 372.12
910 3.638 1.50079 373.621
911 3.642 1.49276 375.113
912 3.646 1.48662 376.6
913 3.65 1.47729 378.077
914 3.654 1.4706 379.548
915 3.658 1.4652 381.013
916 3.662 1.45674 382.47
917 3.666 1.44878 383.919
918 3.67 1.44128 385.36
919 3.674 1.43148 386.791
920 3.678 1.42198 388.213
921 3.682 1.41459 389.628
922 3.686 1.40567 391.034
923 3.69 1.39629 392.43
924 3.694 1.38939 393.819
925 3.698 1.384 395.203
926 3.702 1.37675 396.58
927 3.706 1.36915 397.949
928 3.71 1.36192 399.311
929 3.714 1.35322 400.664
930 3.718 1.34621 402.011
931 3.722 1.33751 403.348
932 3.726 1.32856 404.677
933 3.73 1.32299 406
934 3.734 1.3155 407.315
935 3.738 1.3084 408.624
936 3.742 1.30019 409.924
937 3.746 1.29578 411.22
938 3.75 1.28856 412.508
939 3.754 1.28091 413.789
940 3.758 1.27442 415.063
941 3.762 1.26563 416.329
942 3.766 1.25876 417.588
943 3.77 1.25355 418.841
944 3.774 1.24832 420.09
945 3.778 1.24302 421.333
946 3.782 1.23714 422.57
947 3.786 1.23544 423.805
948 3.79 1.23151 425.037
949 3.794 1.22673 426.264
950 3.798 1.22201 427.486
951 3.802 1.21598 428.702
952 3.806 1.21062 429.912
953 3.81 1.20489 431.117
954 3.814 1.20002 432.317
955 3.818 1.194 433.511
956 3.822 1.18677 434.698
957 3.826 1.18099 435.879
958 3.83 1.17602 437.055
959 3.834 1.1691 438.224
960 3.838 1.16658 439.391
961 3.842 1.16236 440.553
962 3.846 1.15927 441.712
963 3.85 1.15588 442.868
964 3.854 1.15254 444.021
965 3.858 1.14768 445.168
966 3.862 1.1428 446.311
967 3.866 1.13882 447.45
968 3.87 1.13446 448.584
969 3.874 1.13049 449.715
970 3.878 1.12475 450.84
971 3.882 1.12042 451.96
972 3.886 1.11678 453.077
973 3.89 1.1121 454.189
974 3.894 1.10664 455.296
975 3.898 1.10297 456.398
976 3.902 1.09938 457.498
977 3.906 1.09427 458.592
978 3.91 1.09049 459.683
979 3.914 1.08497 460.768
980 3.918 1.07973 461.847
981 3.922 1.07635 462.924
982 3.926 1.07169 463.995
983 3.93 1.0665 465.062
984 3.934 1.06025 466.122
985 3.938 1.05459 467.177
986 3.942 1.05101 468.228
987 3.946 1.04727 469.275
988 3.95 1.04424 470.319
989 3.954 1.04091 471.36
990 3.958 1.03641 472.397
991 3.962 1.03135 473.428
992 3.966 1.02673 474.455
